project,district,marketSegment,startYear,cleanTenure
COSTA RHU,15,RCR,1994,99
COUNTRY GRANDEUR,20,RCR,1000,1000
CRAIG PLACE,2,RCR,1997,99
CRYSTAL HEIGHTS,5,RCR,1000,1000
CUSCADEN RESIDENCES,10,CCR,1000,1000
D' CASITA,14,OCR,1000,1000
D'LOTUS,12,RCR,1000,1000
D'WEAVE,14,RCR,1000,1000
DAKOTA RESIDENCES,14,RCR,2007,99
DE CENTURION,15,RCR,1000,1000
DEDAP GARDENS,28,OCR,1879,999
DOUBLE BAY RESIDENCES,18,OCR,2008,99
DUCHESS CREST,10,CCR,1995,99
DUCHESS RESIDENCES,10,CCR,1875,999
DUKES RESIDENCE,10,CCR,1000,1000
DUNEARN SUITES,11,CCR,1000,1000
EAST COAST RESIDENCES,16,OCR,1000,1000
EASTWOOD REGENCY,16,OCR,1000,1000
EDEN CREST,19,OCR,1000,1000
EIGHT RIVERSUITES,12,RCR,2011,99
ESPARINA RESIDENCES,19,OCR,2010,99
ESTA RUBY,14,RCR,1000,1000
FAIRLODGE,10,CCR,1000,1000
FAIRMOUNT CONDOMINIUM,16,OCR,1996,99
FERN LODGE,14,RCR,1000,1000
FERRELL RESIDENCES,10,CCR,1000,1000
FLORAVILLE,28,OCR,1000,1000
FOOK HAI BUILDING,1,RCR,1972,99
FOREST HILLS CONDOMINIUM,26,OCR,2000,99
FOUR SEASONS PARK,10,CCR,1000,1000
FRANKEL ESTATE,15,OCR,1000,1000
GALLOP GREEN,10,CCR,1000,1000
GLENDALE PARK,23,OCR,1000,1000
GLOUCESTER MANSIONS,11,CCR,1000,1000
GOLDEN HILL ESTATE,20,OCR,1000,1000
GOLDENHILL PARK CONDOMINIUM,20,OCR,1000,1000
GOODLUCK GARDEN,21,RCR,1000,1000
GOODWOOD RESIDENCE,10,CCR,1000,1000
GRANDE VISTA,28,OCR,1886,999
GROVE RESIDENCE,10,CCR,1000,1000
HAWAII TOWER,15,RCR,1000,1000
HEDGES PARK CONDOMINIUM,17,OCR,2010,99
HIGHGATE,21,RCR,1000,1000
HIGHLINE RESIDENCES,3,RCR,2013,99
HILLBROOKS,23,OCR,1000,1000
HILLVIEW GARDEN ESTATE,23,OCR,1000,1000
HOLLAND GROVE,10,CCR,1994,99
HOLLANDSWOOD COURT,10,CCR,1975,99
HORIZON TOWERS,9,CCR,1979,99
HOUGANG GREEN,19,OCR,1994,99
HUME PARK I,21,OCR,1000,1000
HUME PARK II,21,OCR,1000,1000
INTERNATIONAL PLAZA,2,CCR,1970,99
JLB RESIDENCES,17,OCR,1937,946
KASTURINA LODGE,10,CCR,1000,1000
KEW RESIDENCIA,16,OCR,1994,99
KING'S MANSION,15,RCR,1000,1000
KOVAN LODGE,19,OCR,1000,1000
LA FLEUR,14,RCR,1000,1000
LAGUNA 88,16,OCR,1995,99
LAGUNA PARK,15,OCR,1977,99
LAKEPOINT CONDOMINIUM,22,OCR,1983,99
LATITUDE,10,CCR,1000,1000
LEGENDA AT JOO CHIAT,15,RCR,2001,99
LOTUS VILLE,15,OCR,1000,1000
LUMA,9,CCR,1000,1000
LUXUS HILLS (PH 7),28,OCR,1879,999
LYNNSVILLE 331,5,RCR,1000,1000
MACPHERSON GARDEN ESTATE,13,RCR,1000,1000
MANILA GARDENS,15,OCR,1000,1000
MAPLE WOODS,21,RCR,1000,1000
MARINE BLUE,15,RCR,1000,1000
MARTIN PLACE RESIDENCES,9,CCR,1000,1000
MAYFAIR GARDENS (DEMOLISHED),21,RCR,1983,99
MAYSPRINGS,23,OCR,1994,99
MERIDIAN 38,15,OCR,1000,1000
MONTEREY PARK CONDOMINIUM,5,OCR,1885,999
MONTVIEW,10,CCR,1000,1000
NATURALIS,15,OCR,1000,1000
NIN RESIDENCE,13,RCR,2010,99
NORTHOAKS,25,OCR,1997,99
NOUVELLE PARK,19,OCR,1000,1000
NOVENA REGENCY,11,CCR,1000,1000
NUOVO,20,OCR,2001,99
ONE OXLEY RISE,9,CCR,1000,1000
ONE TREE HILL RESIDENCE,10,CCR,1000,1000
ONE-NORTH RESIDENCES,5,RCR,2005,99
OPERA ESTATE,15,OCR,1000,1000
ORANGE GROVE RESIDENCES,10,CCR,1000,1000
ORCHARD COURT,9,CCR,1973,99
PALM ISLES,17,OCR,2011,99
PALM MANSIONS,5,RCR,1000,1000
PALMERA RESIDENCE,15,OCR,1000,1000
PAPILLON,12,RCR,1000,1000
PARC LIFE,27,OCR,2014,99
PARC VERA,19,OCR,2010,99
PARK NATURA,23,RCR,1000,1000
PARK VILLAS,19,OCR,1994,99
PARVIS,10,CCR,1000,1000
PATERSON LINC,9,CCR,1000,1000
PEARL BANK APARTMENT,3,RCR,1970,99
PEOPLE'S GARDEN,19,OCR,1876,999
PINEVALE,18,OCR,1997,99
PLATINUM EDGE,13,RCR,1000,1000
PROXIMO,10,CCR,1000,1000
RAFFLESIA CONDOMINIUM,20,RCR,1997,99
RAINTREE GARDENS,13,RCR,1987,99
RANGOON 88,8,RCR,1000,1000
REGENCY PARK,10,CCR,1000,1000
REGENT GROVE,23,OCR,1997,99
REGENT HEIGHTS,23,OCR,1995,99
REGENT PARK,5,OCR,1993,99
REGENTVILLE,19,OCR,1996,99
RIA APARTMENTS,5,RCR,1000,1000
RIO VISTA,19,OCR,2001,99
RIPPLE BAY,18,OCR,2011,99
RIS GRANDEUR,18,OCR,1000,1000
RITZ MANSIONS,12,RCR,1000,1000
RIVER PLACE,3,RCR,1995,99
RIVERGATE,9,CCR,1000,1000
RIVIERA POINT,9,CCR,1000,1000
RIVIERA RESIDENCES,16,OCR,1000,1000
ROCCA BALESTIER,12,RCR,1000,1000
ROSALIA PARK,19,OCR,1000,1000
SANNY PARK,11,CCR,1000,1000
SCOTTS 28,9,CCR,1000,1000
SCOTTS HIGHPARK,9,CCR,1000,1000
SEA ESTA,18,OCR,2012,99
SELETAR HILLS ESTATE,28,OCR,1879,999
SELETAR PARK RESIDENCE,28,OCR,2011,99
SENNETT RESIDENCE,13,RCR,2011,99
SERANGOON VILLE,19,OCR,1986,100
SERAYA 9,15,RCR,1000,1000
SERENITY BREEZE,15,OCR,1000,1000
SEVEN CRESCENT,15,RCR,1000,1000
SHELFORD 23,11,CCR,1000,1000
SIGNATURE RESIDENCE,15,RCR,1000,1000
SILVERSEA,15,RCR,2007,99
SINGA HILLS,14,OCR,1000,1000
SKIES MILTONIA,27,OCR,2012,99
SKYSUITES@ANSON,2,CCR,2008,99
SOHO 188,8,RCR,1000,1000
SOHO @ FARRER,8,RCR,1000,1000
ST MARTIN RESIDENCE,10,CCR,1000,1000
STARVILLE,14,OCR,1000,1000
STRATUM,18,OCR,2012,99
STUDIOS@TEMBELING,15,RCR,1000,1000
STURDEE RESIDENCES,8,RCR,2015,99
SUITES @ PAYA LEBAR,19,OCR,1000,1000
SUITES AT ORCHARD,9,CCR,2007,99
SUMMER PLACE,19,OCR,1000,1000
SUMMER VILLAS,28,OCR,1000,1000
TAI HWAN GARDEN,19,OCR,1000,1000
TAI KENG GARDENS,19,OCR,1000,1000
TAI KENG VILLAS,19,OCR,1996,99
TAMPINES COURT,18,OCR,1985,101
TANAMERA CREST,16,OCR,2000,99
TANGLIN PARK,10,CCR,1000,1000
TANJONG RIA CONDOMINIUM,15,RCR,1993,99
TESSA LODGE,15,RCR,1000,1000
THE ACACIAS,13,OCR,1000,1000
THE AMERY,15,OCR,1000,1000
THE ANCHORAGE,3,RCR,1000,1000
THE ATRIA AT MEYER,15,RCR,1000,1000
THE BEAUMONT,9,CCR,1000,1000
